Full Name,Team Number,Match ID,Crossed Auto Line?,Auto Installed in the Exchange?,Successful Auto Switch Installs,Failed Auto Switch Installs,Successful Auto Scale Installs,Failed Auto Scale Installs,Collects Cubes From,Succcessful Switch Installs,Failed Switch Installs,Successful Scale Installs,Failed Scale Installs,Successful Exchange Installs,Failed Exchange Installs,Drove on the Platform,Climbing,Let other robots climb on it,Tech Foul?,Defense comments,Comments,Submitted At,Token
Ilai,7112,QM1,false,false,0,0,0,0,Portal,2,1,0,0,0,0,true,Successful,Didn't Try,false,,,2018-03-12 11:05:54,857f35b30606391831588202a1cd4bb3
דור שנהב,7177,PM1,TRUE,FALSE,0,0,0,0,"Ground, Pyramid, Portal",3,1,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,"אחיזה חלשה בקוביה, נסיעה איטית",2018-03-12 8:48:30,431367d357fd0dd09ab5816cf367b882
רותם וילנר,7177,QM 1,,,,,,,,,,,,,,,,,,,,2018-03-12 11:00:17,1975ad5deafe98edc92e9044e584f789
רותם וילנר,7177,QM 1,true,false,0,0,0,0,"Pyramid, Ground",3,1,0,0,0,0,true,Didn't Try,Didn't Try,false,לא הגן,היה לו ממש קשה לקחת קוביות מהרצפה,2018-03-12 12:07:01,cc9f6f50c74072b76704def2d0a2348f
Eylon Efraim ,7286,PM03,FALSE,FALSE,0,0,0,0,Portal,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:11:51,3325dce8e10f1156888b98f03fdc4a70
Stav,7286,PM6,FALSE,FALSE,0,0,0,0,Ground,1,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-12 9:54:53,a88ff41ab729d5f470894c0b14ae453b
רני מלצר ,7302,Pm5,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"נהג לא מנוסה, הרובוט לא מצליח לאסוף פאוור קיובס 

הפסיק לזוז 45 שניות לסוף",2018-03-12 9:39:42,11e89c099ed66ea009ffe7692f87fc88
Saar Zelevski ,1573,QM1,false,false,0,0,0,0,Ground,0,0,0,0,0,0,true,Didn't Try,Didn't Try,true,הגנה כושלת,נכנסו חנול של היריב בזמן לא מתאים,2018-03-12 11:01:52,c6b491d4cac96eb99ec3518f17966ab7
רני מלצר,1573,Qm6,false,false,,,,,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,לא זז,הרובוט לא זז. ,2018-03-12 11:52:30,dae0ec7d8a7602574bde6c5b7eeee892
Sahar Caspi,1573,QM13,true,false,0,1,0,0,Ground,0,0,0,0,0,0,true,Failed,Didn't Try,true,,"ניסה להפיל רובוט יריב
לא מצליח להרים קוביות",2018-03-12 12:55:34,ca8eb4d757b10daa3399326f6ee3558a
יעל אמיתי,1573,Qm27,true,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,נפל במפר והרובוט לא זז,2018-03-12 15:05:32,d0db4bc7727f4271ae9ab6d1bc33744d
יובל גונן ,1573,QM32,true,false,,,,,Pyramid,1,0,0,0,1,1,true,Failed,Didn't Try,false,,,2018-03-12 15:43:56,330a503a19178abc7190780ebc058195
Nir,1573,QM34,true,false,0,0,0,0,Ground,0,0,0,0,0,0,true,Failed,Didn't Try,false,,לא זז רוב המשחק,2018-03-12 16:58:47,a89a357c8742141945db6200b88dff0e
Stav,1573,QM40,false,false,0,0,0,0,Ground,4,1,0,0,0,0,true,Didn't Try,Didn't Try,false,,,2018-03-13 06:40:25,d528873a05d1b31193fdad0cc0aece61
Stav,1573,QM40,true,false,0,0,0,0,Ground,1,0,0,0,2,0,true,Didn't Try,Didn't Try,false,,,2018-03-13 07:55:21,2efbb88bb930cbba036cd5d9430b595b
ניר,1574,QM4,false,false,0,0,0,0,Ground,7,0,2,0,0,0,true,Successful,Failed,false,,,2018-03-12 11:31:17,66673fa27a240f30b2288a76b99b5991
Stav,1574,QM6,true,false,0,1,1,0,"Ground, Pyramid",4,0,2,0,5,0,true,Successful,Didn't Try,false,,,2018-03-12 11:52:05,0a5c53ce6b4e8e75dec1131ab75cf0d8
Sahar Caspi,1574,QM16,true,false,1,0,0,0,"Ground, Pyramid",1,0,1,0,9,0,true,Successful,Didn't Try,false,,,2018-03-12 13:23:35,91830d2360fe298e6f866cf0d697fcd2
Saar Zelevski ,1574,QM18,true,false,1,,,,"Ground, Pyramid",2,0,3,0,0,0,true,Successful,Successful,true,,לאנצינג,2018-03-12 13:47:20,4b9dc7963618cf27c5797ed83c4bb655
יעל אמיתי,1574,QM23,true,false,1,0,0,0,"Portal, Ground, Pyramid",5,0,3,0,0,0,true,Successful,Failed,false,דחף רובוט והברית השנייה כך שהם( הברית השנייה) יקבלו TF,,2018-03-12 14:27:21,4eb9487d8a6b348ca1e5958c144fb0ac
ליהיא פרידן,1574,QM34,true,false,1,0,0,0,Ground,2,1,4,0,0,0,true,Successful,Didn't Try,false,,,2018-03-12 16:58:28,66c0d4b6c09a78798ff6a262ebf062b0
Saar Zelevski ,1574,QM38,true,false,,,,,"Pyramid, Ground",3,2,4,0,0,0,true,Successful,Didn't Try,false,,אסטרטגיה,2018-03-12 17:31:01,7fdcf428287d3924c08d1a7e4e62f411
Saar Zelevski ,1574,QM44,true,false,,,,1,"Ground, Pyramid, Portal",6,0,5,2,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-13 08:49:46,5d877169cbd8e3565dd63d9a73873b6b
Saar Zelevski ,1580,QM3,true,false,,,,,,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,רובוט בשקל שבעים,2018-03-12 11:20:00,77669c522d9a2a9beb3c521015467c2e
אליה פילוסוף ,1580,QM9,true,false,,,,,"Ground, Pyramid, Portal",2,0,0,0,2,1,true,Didn't Try,Didn't Try,false,,,2018-03-12 12:21:06,ea26c4305ea20bbc6465b449cb440937
1580,1580,Qm16,true,,,,,,Portal,2,0,0,0,0,0,false,Didn't Try,Didn't Try,false,הגנו על הסקייל לכמה שניות,לא עושים הרבה,2018-03-12 13:23:11,e3a784811d687de45b9023d60dae0af8
Sahar Caspi,1580,QM22,true,false,0,0,0,0,Portal,2,0,0,0,0,0,true,Didn't Try,Didn't Try,false,,הפסיק לעבוד באמצע המשחק למשך 30 שניות,2018-03-12 14:17:52,02b355e1037102130c98f354c32bdd23
יעל אמיתי,1580,QM 26,true,false,0,0,0,0,Portal,2,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 14:53:22,2de209690f5616c421d1bad6848b44c7
עילי,1580,QM29,true,false,,,,,Portal,1,0,0,0,0,0,false,,Didn't Try,true,,"דחף רובוט אחר לאיזור הלבן
חוץ מזה הוא לא עשה כלום",2018-03-12 15:20:49,e8baed427e90e810892a9144bb8cad0c
Saar Zelevski ,1580,QM34,true,false,,,,,Portal,2,1,0,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 16:11:20,18eabcee57c99df64ece50855d923947
Saar Zelevski ,1580,QM34,true,false,,,,,Portal,2,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,"הרובוט לא עובד רוב הזמן
קיבלו כרטיס צהוב על משקפי מגן",2018-03-12 16:57:39,f01dacd0d0d2cfd6aa0b7bc2a8245a93
Stav,1657,QM3,true,false,1,0,0,0,Ground,3,0,2,0,0,0,true,Failed,Didn't Try,false,עשה הגנה על switch יריב,,2018-03-12 11:23:26,6ccd4aca6c0b675f94a6d886635260fa
Nir,1657,QM8,,,,,,,,,,,,,,,,,,,,2018-03-12 12:12:27,3407dcd15e2ebc40560d00a5ef3f7819
Nir,1657,QM8,false,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,לא זזו,2018-03-12 12:14:18,f56aa9406d07ef2fee7efff201daad55
רני מלצר,1657,Qm12,true,false,1,0,,,"Ground, Pyramid, Portal",4,2,1,0,0,0,true,Failed,Didn't Try,false,לא הגן,3083 ניסו להרים אותו ללא הצלחה,2018-03-12 12:49:48,6d926c5ef8e664da9beec54d070caa15
Ori Adereth,1657,QM21,true,false,1,0,0,0,"Ground, Pyramid, Portal",2,1,0,0,0,0,false,Didn't Try,Didn't Try,false,אין,מתקשה באיסוף קוביות,2018-03-12 14:10:09,5c87c25dd27150336ddd7ee301d569e3
Guy Altman,1657,QM25,true,false,1,0,0,0,"Pyramid, Ground",1,0,1,1,5,0,true,Didn't Try,Didn't Try,false,...,...,2018-03-12 14:41:32,8401a69402708061ef4ee8ac81b39820
רותם וילנר,1657,QM 30,true,false,0,1,0,0,Ground,3,1,1,0,0,0,true,Didn't Try,Didn't Try,false,התקיף את הצד השני,הסוויטצ׳ים היו בצד השני,2018-03-12 15:28:43,9389c1911567be3789cf1b32b21d4662
אורי,1657,QM33,true,false,1,0,0,0,"Pyramid, Portal",4,1,0,1,0,0,false,Didn't Try,Didn't Try,false,,מתקשה לאסוף קוביות,2018-03-12 15:52:49,f875f12a86ee96023bf2e3ce031f8d70
יובל גונן,1657,QM3,true,false,,1,,,"Ground, Pyramid",4,3,1,0,0,0,true,Didn't Try,,false,,"משחק חוזר.
לא היה ברור מה הוא עושה חלק מהזמן",2018-03-12 16:52:01,476a46acd78701653b79fddae9d0018a
Daniel Tal,1657,QM38,true,false,1,0,0,0,Ground,0,0,2,3,0,0,false,Didn't Try,Didn't Try,false,,עבירה-הטו את הסקייל,2018-03-12 17:34:38,480596c7c29a55fa3ef87af303a3ab61
רני מלצר ,1690,Qm4,true,false,,,,,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,לא זז,הרובוט הפסיק לזוז אחרי שחצה את האוטוליין,2018-03-12 11:33:11,d84d97587265e581c450975ec95b7dbe
עילי,1690,QM13,true,false,1,0,0,0,"Ground, Pyramid",0,0,1,1,3,0,false,Failed,Didn't Try,,,רובוט ממש מהיר. מנגנון תפיסת קוביות מאוד מדויק,2018-03-12 12:55:39,9862c8204af91e6b31b52a31be1ca912
Sahar Caspi,1690,QM20,true,false,1,0,0,0,Ground,0,0,7,1,0,0,true,Failed,Didn't Try,false,,נתקע בסקאל,2018-03-12 14:02:10,155b3f1e3a887d819a037b6f99058922
Ori Adereth,1690,QM23,true,false,0,0,0,1,"Ground, Pyramid",2,0,3,0,1,0,true,Failed,Failed,false,אין,אין,2018-03-12 14:28:50,43263d83ba0b0da12121be0224d4d23d
רני מלצר,1690,Qm32,true,false,1,0,0,0,Ground,0,0,7,0,0,0,true,Didn't Try,Didn't Try,false,לא הגנו, פאול רגיל אחד,2018-03-12 15:45:24,95d8e65d037900d5a3eea0ba116f7c0a
שקד,1690,QM36,true,false,1,0,0,0,Ground,2,0,1,0,9,0,true,Didn't Try,Didn't Try,false,,,2018-03-12 17:33:19,6de848cf170cc4901dbdcc80f541c7f1
Nir,1690,QM43,true,false,1,,,,Ground,2,1,0,0,2,0,false,Didn't Try,Didn't Try,false,,,2018-03-13 08:43:04,b35d6c6e9035b7de408b4eedd0cf0acd
רותם וילנר,1874,QM 29,true,false,1,0,0,0,"Ground, Portal",3,0,2,0,0,0,true,Successful,Failed,false,התקיף את הswitch השני,את כל הswitch הוא עשה בצד השני,2018-03-12 15:22:10,e276547f89841dc8e179175180ebeb80
Eliya Filosof ,1944,QM5,false,false,0,0,0,0,"Pyramid, Portal, Ground",3,0,0,0,1,1,false,Didn't Try,Didn't Try,false,,בעיות תקשורת בין נהגים לרובוט,2018-03-12 11:42:59,6858ffc07e4fef3b783f255e0e3910dd
Nir,1944,QM9,true,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,Didn't move in teleop,2018-03-12 12:19:49,f0356791c24fbfd0935a2e5f787955e7
רני מלצר,1944,Qm13,false,false,,,,,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,הרובוט לא זז אחרי האוטונומי הכושל,2018-03-12 12:54:52,a66c6d4da770b26fbbbe41c61b9a961e
יובל ויינשטיין,1944,QM19,false,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,אין,לא הגיע למשחק,2018-03-12 13:53:46,422773995e96d903b0cbe9d9704107ca
Saar Zelevski ,1944,QM25,true,false,,,,,,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 14:41:47,a4c186b097108438d65f944d9481c790
רותם וילנר,1944,QM 28,false,false,0,0,0,0,,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,לא הגיע למגרש,לא הגיע לתחרות,2018-03-12 15:09:02,5cc2f63745820ac8912fff893a46ef24
יובל ויינשטיין,1944,QM33,true,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,false,חסימה 5 שניות,לא אסף קוביות,2018-03-12 15:53:48,1ff62cff6b913d62ffd74bb4cef0e24e
Nir,1944,QM38,true,false,0,0,0,0,Ground,0,0,0,0,0,0,false,Didn't Try,Didn't Try,true,,עברו לצד של היריב באוטונומי והפסיקו לפעול,2018-03-12 17:32:58,ac3b23bbdb4e56f0f17432e83afcb659
Saar Zelevski ,2212,QM6,true,,1,,,,"Ground, Pyramid",1,0,1,0,2,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 11:51:37,08144bb1d61cb2daa97eb3146e0291e7
רני מלצר,2212,Qm10,true,false,1,0,,,"Ground, Pyramid",1,0,2,0,2,1,false,Didn't Try,Didn't Try,false,,קושי באיסוף,2018-03-12 12:29:52,53f19ac708e220aa7c724aa862b36e09
Nir,2212,QM12,true,false,1,0,0,0,Ground,1,0,1,0,0,0,true,Didn't Try,Didn't Try,false,,,2018-03-12 12:44:49,1740f1b8715d2b09c7c01fb2874b8237
Sahar Caspi,2212,QM19,true,false,1,0,0,0,"Pyramid, Portal",2,0,0,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 13:55:02,d80a1ca14d241cedf165c1023956a2f7
Guy Altman,2212,QM26,true,false,1,0,0,0,"Ground, Pyramid",1,0,1,1,0,0,,Didn't Try,Didn't Try,false,.,.,2018-03-12 14:51:52,dc5c67b87f77e29fa537f8177fd925dd
יובל ויינשטיין,2212,QM32,true,false,1,0,0,0,Ground,0,0,2,0,0,0,false,Didn't Try,Didn't Try,false,אין,אין,2018-03-12 15:42:41,aa9b50ed636e5aca7771dd7f8448155f
ליהיא פרידן,2212,QM37,true,false,1,0,0,0,"Ground, Pyramid",1,0,1,0,0,0,false,Didn't Try,Didn't Try,false,,"איסוף לא מוצלח
נפלו להם 6-7 קוביות ",2018-03-12 17:23:33,4b43416c9f5e785859631e9dc339880d
Nir,2212,QM42,true,false,,,,,"Ground, Portal",2,0,0,1,1,0,true,Didn't Try,Didn't Try,false,,,2018-03-13 08:18:04,58b075ea53a4ee0943bd085e3a904c82
גיא אלטמן,2230,QM1,true,false,0,1,0,0,"Ground, Pyramid",0,0,1,0,6,0,true,Didn't Try,Didn't Try,false,,,2018-03-12 11:02:20,d4815d1bae17aa374dad419381223f91
Ori Adereth,2230,QM8,false,false,0,0,0,0,"Ground, Pyramid",1,0,3,0,3,1,false,Didn't Try,Didn't Try,false,אין,אין,2018-03-12 12:13:21,8bb1636fc98418784fdda320d3a12ac6
יובל ויינשטיין,2230,QM15,true,false,0,0,1,0,Ground,0,0,3,2,0,0,false,Didn't Try,Didn't Try,false,אין,עבירה - התקין בסקייל לא מהנאל זון,2018-03-12 13:10:50,85d3f33f684fea0bad41fe7b6e119d3d
עילי,2230,QM15,true,false,0,0,1,0,Ground,0,0,3,2,0,0,,Didn't Try,Didn't Try,false,,הרובוט פשוט זורק קוביות לשמיים,2018-03-12 13:11:36,6dd6df75010a36ea89e50c93f05a27ba
Saar Zelevski ,2230,QM19,true,false,,,,1,Ground,5,0,1,1,0,0,false,Didn't Try,Didn't Try,false,,הכניסו קוביה בזמן שהייתה עליהם אחת,2018-03-12 13:55:00,9c418402455e8ead5383ea5d32042189
Saar Zelevski ,2230,QM23,true,false,,,,,"Ground, Pyramid",2,1,0,0,5,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 14:25:23,6209ef29b7c54043bd001a457fdb2436
יובל גונן,2230,QM29,true,false,0,,,,Ground,0,0,1,0,0,0,false,Didn't Try,Didn't Try,false,,נתקע לכמעט כל המשחק,2018-03-12 15:21:05,1fbaf4292140b36189c40784d00ff351
Stav,2230,QM35,true,false,1,0,0,0,Ground,0,0,0,0,4,0,false,Failed,Didn't Try,false,,לא הצליחו לטפס על ארטמיס,2018-03-12 17:31:27,3005b1879bfe38c15c6e2c1932b93d73
Saar Zelevski ,2230,QM39,false,false,,,,,"Pyramid, Ground",0,0,3,1,4,0,true,Didn't Try,Didn't Try,false,,,2018-03-13 06:35:39,68690a08ec96ba6814fab9d87d855d93
יונתן אוחיון,2286,QM35,,,,,,,,,,,,,,,,,,,,2018-03-12 17:11:35,51c197f8557c7ac5903885ccdc335efc
יונתן אוחיון,2286,QM35,true,false,0,0,0,0,Ground,1,0,0,0,2,0,false,Didn't Try,Didn't Try,false,,נפל להם הבאמפר ובגלל זה קיבלו Disable בT=30,2018-03-12 17:22:56,72704bb29326b3a7d08718f579b81db7
Stav,3034,QM5,true,false,1,0,0,0,Ground,3,1,0,0,7,0,false,Didn't Try,Didn't Try,false,שמו קוביות על הswitch של הברית היריבה,,2018-03-12 11:42:00,5df6dffca2ebda1435c4d30e3c8ff3de
ניר,3034,QM7,true,false,0,0,0,0,Ground,4,0,1,0,0,0,true,Didn't Try,Didn't Try,false,,,2018-03-12 12:03:37,d3a115c7592fb9686ae2ed25f648b07a
Saar Zelevski ,3034,QM14,true,false,,,,,Ground,1,0,5,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 13:02:44,e04d14b5709c7115e9f3fe2292a1abb3
יובל גונן,3034,QM21,true,false,,,,,Ground,5,1,2,0,1,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 14:08:30,0b62032a76fa1bc8fe123a58be69e879
Saar Zelevski ,3034,QM24,true,false,1,0,,,"Ground, Pyramid",1,0,4,0,2,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 14:32:25,0553697a138c157419c8b0ddd42a887d
Ori Adereth,3034,QM30,true,false,0,0,0,0,"Ground, Pyramid",2,2,1,1,1,0,true,Didn't Try,Didn't Try,false,אין,הפיל הרבה פעמים את הקוביות.,2018-03-12 15:29:53,cbe34c26b87ea02c8e1a255df7c6eb58
Stav,3034,QM34,true,false,0,1,0,0,Ground,1,0,2,2,0,0,true,Didn't Try,Didn't Try,false,,,2018-03-12 16:59:55,82d2a4de8cc91ffabc267e2b018c54b4
Stav,3034,QM42,true,false,1,0,0,0,Ground,3,0,3,0,0,0,true,Failed,Didn't Try,false,,,2018-03-13 08:18:58,0aab88869ca4bfdd9760fee8433d4cfb
Saar Zelevski ,3075,QM5,true,,1,,,,Ground,0,0,4,0,0,0,true,Successful,Didn't Try,false,,,2018-03-12 11:39:32,b2f98721b2529300de81a7999baa5a06
Eliya Filosof ,3075,QM8,true,false,,,,1,"Ground, Pyramid, Portal",1,0,5,1,0,0,true,Successful,Didn't Try,false,,מתרכזים בלעשות סקייל,2018-03-12 12:13:57,bf2234c4f841d617709055b10803b055
יובל גונן,3075,QM12,true,false,0,0,0,1,Ground,2,0,5,0,0,0,true,Successful,Didn't Try,false,,לא היה ברור מה הוא עושה במשך 10 שניות,2018-03-12 12:50:48,4ad2994b1bd068d8400b192e123a18d2
Eliya filosof,3075,QM17,true,false,0,,,,"Ground, Pyramid, Portal",4,0,2,0,0,0,true,Successful,Didn't Try,false,,,2018-03-12 13:39:15,b5ec60601f9d7b90237253ea0ad8e107
Saar Zelevski ,3075,QM26,true,false,,,,,Ground,2,0,1,0,0,0,true,Failed,Didn't Try,false,,,2018-03-12 14:51:47,a48d01483800298a575e38add53aba90
Guy Altman,3075,QM29,true,false,1,0,0,0,"Ground, Pyramid",3,0,5,0,0,0,true,Successful,Didn't Try,false,...,....,2018-03-12 15:20:06,2c4f7e5cfefab7540caae80844354a54
Daniel Tal,3075,QM36,true,false,0,0,1,0,Ground,4,0,1,0,0,0,false,Didn't Try,Didn't Try,false,,,2018-03-12 17:27:15,c45223b36fd6919eaa854bdbdc611666
Nir,3075,QM41,true,false,1,,,,Ground,4,1,3,0,0,0,true,Successful,Didn't Try,false,,,2018-03-13 07:47:55,5308287d8ba7755964c1fa0255dcf7a0
Eliya Filosof ,3083,QM4,true,false,0,0,0,0,"Ground, Portal",2,2,0,1,1,0,true,Failed,Failed,false,,,2018-03-12 11:34:46,c38c10056acc2e754257c8eaf2ec7cf9
