Full Name,Team Number,Match ID,Crossed Auto Line?,Auto Installed in the Exchange?,Successful Auto Switch Installs,Failed Auto Switch Installs,Successful Auto Scale Installs,Failed Auto Scale Installs,Collects Cubes From,Succcessful Switch Installs,Failed Switch Installs,Successful Scale Installs,Failed Scale Installs,Successful Exchange Installs,Failed Exchange Installs,Drove on the Platform,Climbing,Let other robots climb on it,Tech Foul?,Defense comments,Comments,Submitted At,Token
יובל ויינשטיין,1574,QM52,TRUE,FALSE,1,0,0,0,Ground,1,1,5,0,0,0,TRUE,Successful,Failed,FALSE,אין,"התקין קוביה בסוויץ' יריב
לא ניסו לטפס עליו",2018-03-06 8:38:09,634071eae54caf71c27803184aca82ac
טל שמר,1574,QM58,TRUE,FALSE,1,1,0,0,Ground,2,0,4,0,0,0,TRUE,Successful,Didn't Try,FALSE,הדף שני רובוטים בו זמנית,,2018-03-06 9:28:30,4fa5b2727f4cecb45c11f59c453cb54e
רני מלצר,1574,QM29,TRUE,FALSE,1,1,0,0,"Ground, Pyramid",4,1,2,0,3,1,TRUE,Failed,Didn't Try,FALSE,לא הגן,הרובוט לא טיפס מספיק,2018-03-06 10:25:28,46a1bdcafb8cd9c39420a3239005b305
סהר כספי,1574,QF1,TRUE,FALSE,1,0,0,0,"Ground, Pyramid, Portal",3,0,1,0,3,0,TRUE,Successful,Successful,FALSE,,וואו! ,2018-03-06 12:22:26,fc931c901ede6010da1389f0a1cca506
סהר כספי,1574,QF5,TRUE,FALSE,1,1,0,0,"Ground, Pyramid",1,0,0,0,7,0,TRUE,Successful,Failed,FALSE,,,2018-03-06 12:56:32,aba7351d0d29a92a96e46e3206699d71
ענב בר ניר,1576,Pm 4,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא זז,רובוט לא זז,2018-03-05 9:48:34,ed591b1f7c7e14b576c8704d3f01110b
מאיה לוי,1576,Pm6,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,זז קצת בתחילת המשחק בלי לעשות כלום ואז הפסיק,2018-03-05 10:27:10,b61c7937bbf79903ebcd73efdd2513c3
רני מלצר,1576,QM10,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,3,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"עשה פאול רגיל אחד
הפסיק לזוז לקראת endgame",2018-03-05 12:57:19,70999708c5ec71b3c60ab5dc142003c4
Stav Eyal,1576,QM17,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,TRUE,,עמדו בbull territory לא שלהם,2018-03-05 14:25:32,c97634cece593c1475eb4b4bd8a1ecba
Saar Zelevski ,1576,QM2,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,הבריזו לנו,2018-03-05 11:28:51,1a673c12108d0a9e04dc350df9e52568
סהר כספי,1576,QM21,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא זז אחרי הauto,2018-03-05 14:48:40,464f4db6df4760e77fb6234ba5c5489d
יובל ויינשטיין,1576,QM25,TRUE,FALSE,0,0,0,0,Ground,0,1,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"לא זז רוב המשחק
מנגנון איסוף לא מקובע וזז בכל תנועה של הרובוט",2018-03-05 15:16:41,bf184a262d882bbd6a78393112ed761e
Saar Zelevski ,1576,QM31,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,רובוט נכה בן 90,2018-03-05 16:26:53,919864de496c836507e1ddc8756d7a08
Saar Zelevski ,1576,QM36,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",1,1,0,0,1,0,TRUE,Successful,Didn't Try,FALSE,,עלוב,2018-03-05 17:13:34,bd6b7c90268960fea2ab48635bfc4954
ניר,1576,QM41,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,3,0,TRUE,Failed,Didn't Try,FALSE,,התחילו בלי קובייה,2018-03-06 7:04:12,eff23999781ab11a02637821bbf8708b
Stav Eyal,1576,QM50,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,TRUE,,Touched an opponent robot in their platform in the end game,2018-03-06 8:27:42,6de2a63b05a19217ff02114b3ee5d05c
מאיה לוי,1576,QM54,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,1,1,TRUE,Failed,Didn't Try,FALSE,,נשבר גלגל בתחילת המשחק אז דחף קוביות ולא הרים,2018-03-06 8:53:12,00afc8cef0e0ae4679c3bc3de993060b
Nir,1576,QM58,TRUE,FALSE,0,0,0,0,Ground,0,1,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 9:26:22,ce6d7b25bdabc8c1d601fa2182915258
Stav Eyal,1577,PM3,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,The robot fell down,2018-03-05 9:34:13,dab618a1170369cc3cade6e28e62212c
Saar Zelevski ,1577,PM6,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",1,0,2,1,0,0,TRUE,Failed,Didn't Try,TRUE,,"כמעט נפלו, אבל במקום נפתחה להם הרמפה, איזנה אותם והם קיבלו עבירה.",2018-03-05 10:27:42,add6bba3a80615900ec9fac7c7243dc5
יעל אמיתי,1577,QM 14,FALSE,FALSE,0,0,0,0,Ground,3,0,4,1,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,הפילו קוביה מהscale של הברית שלהם,2018-03-05 13:39:54,58615749d4dc131769bd806aea60cbf7
יעל אמיתי,1577,QM 31,TRUE,FALSE,1,0,0,0,Ground,1,0,4,0,0,0,TRUE,Successful,Failed,FALSE,,,2018-03-05 16:28:01,aa0dd3309aa8dd75cc2e060b4f6c18c9
Stav Eyal,1577,QM1,FALSE,FALSE,0,0,0,0,Ground,1,0,3,1,0,0,TRUE,Successful,Failed,FALSE,,מתקשים להתקין על הקומה השנייה של קוביות בscales,2018-03-05 11:41:45,25a5462314537d49b1d92049d0c67983
מאיה לוי,1577,QM18,FALSE,FALSE,0,0,0,0,Ground,1,0,6,1,0,0,TRUE,Failed,Didn't Try,FALSE,,הפריעו לו בטיפוס ,2018-03-05 14:15:54,94c345972dae74c1fbb9b0cb7c4a4ffe
Stav Eyal,1577,QM24,TRUE,FALSE,0,0,0,0,Ground,1,0,2,1,1,0,FALSE,Didn't Try,Didn't Try,TRUE,,כמעט התהפך מהcable protector,2018-03-05 15:24:35,bc11faa40b4d2400fe4a80eb038caf82
Stav Eyal,1577,QM24,TRUE,FALSE,0,0,0,0,Ground,1,0,2,1,1,0,TRUE,Failed,Didn't Try,TRUE,,כמעט התהפכו מהcable protector,2018-03-05 15:33:16,ee05885acb56ada19f22b5673cefd105
סהר כספי,1577,QM7,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",1,0,4,3,0,0,TRUE,Successful,Failed,FALSE,,"לא זז באוטונומי.
מאוד מהיר",2018-03-05 12:27:26,44f4b1a0122ceba4dbe25ec7d434601d
יובל ויינשטיין,1577,QM38,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,5,3,0,0,TRUE,Successful,Didn't Try,FALSE,לא הגן,"אגרסיבי
לא מנסה שום דבר חוץ מהסקייל",2018-03-06 6:36:21,967744b395c0d05f3b082ae016d1ebc7
Saar Zelevski ,1577,QM43,TRUE,FALSE,0,0,0,1,Ground,0,0,4,2,0,0,TRUE,Successful,Successful,FALSE,,שברו את המגרש באוטו,2018-03-06 7:21:58,2d1f9367c0dc1e84f3deb9ff0f497281
יובל ויינשטיין,1577,QM51,TRUE,FALSE,1,0,0,0,Ground,0,0,7,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,אין,אין,2018-03-06 8:26:51,4144a48d2ec7326c73908bc943ac16ba
מאיה לוי,1577,QM53,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",1,0,3,1,3,0,TRUE,Successful,Failed,FALSE,,"נתקע בדברים, פתח כזה שמאפשר לטפס עליו מאוחר מדי",2018-03-06 8:46:58,89f9e38bafdfc418af3203222cf78d12
יובל ויינשטיין,1577,QF1,TRUE,FALSE,0,0,1,0,"Ground, Pyramid",3,0,3,0,3,0,TRUE,Successful,Didn't Try,FALSE,לא הגן,אין,2018-03-06 12:22:34,ed5dc9a03fd49b0a4114e0d364cdbece
יובל ויינשטיין,1577,QF4,TRUE,FALSE,1,0,1,0,Ground,3,0,2,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,אין,התקין קוביה בסוויץ' יריב,2018-03-06 12:56:28,113d1bc2bb6366a10c97ce67bffd26e6
Saar Zelevski ,1657,PM4,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,1,0,2,2,0,TRUE,Failed,Didn't Try,TRUE,,"מתנדנד למוות, התנתקה מערכת הטיפוס, ירו קוביה למקום לא חוקי",2018-03-05 9:48:36,10f2e6da9f9916a2c2bf5dc657bcea97
טל שמר,1657,QM16,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",2,0,0,0,2,1,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 13:59:01,daa3a9874930e99fcaf6f4b4f7253e67
סהר כספי,1657,QM20,FALSE,FALSE,0,1,0,0,"Ground, Pyramid",1,0,0,0,8,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-05 14:35:04,3fc7e07a94ecddda844d9a97754ed34a
יובל ויינשטיין,1657,QM28,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",5,0,1,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,הגן 5 שניות,התקין קוביות בסוויץ' יריב,2018-03-05 15:48:50,bf9931032aa8657c193fedf3fee74aea
Stav Eyal,1657,QM3,TRUE,FALSE,0,0,0,0,Pyramid,0,0,4,1,1,0,FALSE,Didn't Try,Didn't Try,TRUE,,"באוטונומי חצו לצד השני של המגרש
",2018-03-05 11:56:44,2f00681c66a21f3a2a2ff29e3f02fb1a
סהר כספי,1657,QM30,TRUE,FALSE,0,0,0,0,Pyramid,0,0,1,0,9,1,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 16:17:35,0e5209f07fb4a8b30c2894594214de12
יובל ויינשטיין,1657,QM35,TRUE,FALSE,1,0,0,0,Ground,3,0,1,1,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,התקין קוביה בסוויץ' יריב,2018-03-05 17:02:43,9c126c44805808ba5b01c4a377a995bc
Dor Shenav,1657,QM6,TRUE,FALSE,0,1,0,0,"Ground, Pyramid",3,0,0,0,0,0,TRUE,Failed,Didn't Try,FALSE,,הוציאו קוביות לאקסגנג וניסו לטפס על משגב,2018-03-05 12:17:53,e158916bf5073b999a1a630e98e9a78c
רני מלצר,1657,QM43,TRUE,FALSE,0,0,0,1,Ground,1,0,1,0,0,0,TRUE,Successful,Didn't Try,FALSE,תפסו רובוט בנול,נכשלו באוטו בגלל סיטמפאנק,2018-03-06 7:28:50,e633273ddac564af2053a406307d0470
ניר,1657,QM47,TRUE,FALSE,1,0,0,0,Ground,1,0,0,0,6,1,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 7:52:10,b21cbe102f038ac142ca912885a8f319
Stav Eyal,1657,QM53,TRUE,FALSE,0,0,0,0,Ground,1,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,בעיות תקשורת,2018-03-06 8:50:33,dd2667ab7a827b5e1cfe01157ed7dde3
Saar Zelevski ,1657,QM59,TRUE,FALSE,1,0,0,0,"Ground, Pyramid",0,0,1,3,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 9:35:30,80a456a0575e4f021c979ae3374ae273
סהר כספי,1657,QF4,TRUE,FALSE,0,0,0,0,Ground,2,1,0,0,1,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 12:47:12,de874e72ec8e3b871316f8a3ef1720ef
סהר כספי,1657,QF8,TRUE,FALSE,0,1,0,0,"Pyramid, Portal",5,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 13:20:50,fe8717e8d648a7d5218188444935ee88
יובל ויינשטיין,1690,PM5,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא זז,לא זז,2018-03-05 10:08:19,86afecb77348df027a4784a2a67e3163
ניר כהן,1690,QM33,TRUE,FALSE,1,0,0,0,Ground,2,0,2,0,0,0,TRUE,Failed,Failed,FALSE,,עמדו לטפס בסוף אבל נגמר הזמן,2018-03-05 16:48:24,0579fff7113fdca559acc259db824d84
Stav Eyal,1690,QM11,TRUE,FALSE,1,0,0,0,Ground,0,0,2,1,1,0,TRUE,Failed,Didn't Try,FALSE,,מתקשים עם exchange,2018-03-05 13:38:49,e00bc25f32210f10894ef44b6fb53a7e
מאיה לוי,1690,QM13,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,הרובוט לא זז ולא עבד כל המשחק,2018-03-05 13:27:32,e88d71b33beaf61b87f54d998c5f3b06
Stav Eyal,1690,QM20,TRUE,FALSE,1,0,0,0,Ground,0,0,5,0,0,0,TRUE,Failed,Failed,FALSE,,קשה לעלות על הרמפה,2018-03-05 15:02:01,e97f7d9486308f55ad58e7fb0c3a0101
Saar Zelevski ,1690,QM23,TRUE,FALSE,1,0,0,0,Ground,0,0,3,1,0,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-05 14:58:09,76301ffc359179b7acbffdfec67816f7
טל שמר,1690,QM5,TRUE,FALSE,1,0,0,0,Ground,0,0,1,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,הפסיק לזוז לפרקי זמן מאוד ארוכים במהלך המשחק,2018-03-05 12:05:08,c806b594ad64f14aa7353f3ab0324290
nir,1690,QM39,TRUE,FALSE,0,0,0,1,Ground,0,0,6,2,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,"באוטונומי כמעט התקינו לברית היריבה בסקייל.
פאול על זה שנתקעו מתחת לסקייל לרגע.",2018-03-06 6:47:23,ced0ae68f2e9126b6cb73edabb44b249
יובל ויינשטיין,1690,QM45,TRUE,FALSE,1,0,0,0,Ground,0,0,3,1,0,0,TRUE,Didn't Try,Didn't Try,FALSE,לא הגן,התעכב על איסוף קוביות,2018-03-06 7:40:06,0eab40632e2587cae691bac897459f07
מאיה לוי,1690,QM50,TRUE,FALSE,1,0,0,0,Ground,1,0,3,0,0,0,TRUE,Failed,Didn't Try,FALSE,השתחררו מהגנה אגרסיבית,לא פתחו רמפה שמאפשרת לטפס עליהם,2018-03-06 8:19:12,595209b3199f7e6176b77e62dffb7406
nir,1690,QM56,TRUE,FALSE,1,0,0,0,Ground,6,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 9:14:10,125e86010223a6355b786ea4677d0252
סהר כספי,1690,QM59,TRUE,FALSE,0,1,0,0,Ground,1,0,3,0,0,0,TRUE,Failed,Didn't Try,FALSE,,,2018-03-06 9:36:05,4f4ff0d80e1a8f7a8f1129661de4247a
יובל ויינשטיין,1690,QF3,TRUE,FALSE,0,0,0,1,Ground,2,1,2,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,הצמיד רובוט ליותר מ5 שניות וקיבל עבירה,עבירה - קוביה בסוויץ' לא על הפלטה,2018-03-06 12:39:44,367526fce3f5aa97b7c37333a3d09de9
יובל ויינשטיין,1690,QF7,TRUE,FALSE,0,0,1,0,Ground,3,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,אין,"התקין קוביה בסוויץ' של ברית שניה
התקין קוביה בסוויץ' יריב",2018-03-06 13:11:21,92aa51b0de80ed1508f1575fed2b687f
יובל ויינשטיין,1690,Sf4,TRUE,FALSE,0,0,1,0,Ground,3,0,1,0,0,0,TRUE,Failed,Didn't Try,FALSE,,נתקע בקיר באגרסיביות,2018-03-06 14:37:54,a9afa2f9ed10c8714839baf884984187
ענב בר ניר,1937,Pm 3,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,חסם רובוט בול רובוט שנפל לכמה שניות,ניסו הרבה פעמים להרים קוביות מהרצפה ולא הצליחו,2018-03-05 9:32:22,62aaae4539f67e5a1707e7e7193c7680
טל שמר,1937,QM10,FALSE,FALSE,0,0,0,0,Pyramid,0,0,0,0,2,0,FALSE,Didn't Try,Didn't Try,FALSE,להר הצליח להמשיך להחזיק את הקוביה כשנתקלו בו,,2018-03-05 12:56:42,eb017e31c4281ac5fbd49c64361c1818
טל שמר,1937,QM14,FALSE,FALSE,0,0,0,0,"Ground, Pyramid",1,0,0,0,3,1,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 13:38:22,42128a780d12a49de3654a404c4dc5cb
יובל ויינשטיין,1937,QM20,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,1,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"מפיל קוביות
לא יציב",2018-03-05 14:35:05,a92f9e43d7c7e4cb5b57d877ac97f925
סהר כספי,1937,QM33,FALSE,FALSE,0,0,0,0,Ground,1,0,0,0,1,0,FALSE,Failed,Didn't Try,FALSE,,לא זז בauto,2018-03-05 16:45:43,5315cc47e85811fcafa8e105b74f2d7c
Saar Zelevski ,1937,QM4,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,0,0,TRUE,Failed,Didn't Try,FALSE,לקראת הסוף עשו הגנה סבירה על 2230,"לא הצליחו לפרוק בכלל, מזעזע. הרובוט לא נוסע חלק.",2018-03-05 11:54:01,89ac9a8229e3f6d2ed07c598a1e7ab0b
יובל ויינשטיין,1937,QM39,TRUE,FALSE,0,0,0,0,"Ground, Portal",0,0,4,2,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,אין,2018-03-06 6:48:17,c7d4c2e469d076ffe0928b0c4cdd4a58
טל שמר,1937,QM41,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,מנע גישה לscale לזמן מסויים,גרוטאה,2018-03-06 7:07:05,e90875349a0091fa91636955bcd0ae29
ניר,1937,QM51,TRUE,FALSE,0,0,0,0,Ground,0,0,1,3,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 8:26:14,684b4e7acbc5fad842c18577596d1ae9
Nir,1937,QM55,TRUE,FALSE,0,0,0,0,Ground,1,0,3,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 9:03:01,c0531d379b4e4aa91c2b16512a9556d0
רני מלצר,1937,QM58,TRUE,FALSE,0,1,0,0,Pyramid,0,0,0,0,3,0,TRUE,Didn't Try,Didn't Try,FALSE,עשה הגנה על משגב ל15 שניות לקראת האנדגיים,אין,2018-03-06 9:27:48,5b1bb3efb9b2c733c08ef53998c9c810
Saar Zelevski ,1937,Qf2,TRUE,FALSE,1,0,0,0,Ground,0,0,1,1,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 12:31:43,4f5a0d7b796bcc215cd44ce3b78fc220
Saar Zelevski ,1937,Qf6,TRUE,FALSE,1,0,0,0,Ground,1,0,1,0,0,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 13:03:50,e4a4e529e165145efc1a64209f71df32
Saar Zelevski ,1937,Qf10,TRUE,FALSE,1,0,0,0,Ground,1,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 13:27:15,69f81b690a4033f290679f6f28a871ee
יובל ויינשטיין,1943,QM54,TRUE,FALSE,0,0,0,0,Ground,0,0,0,1,0,0,FALSE,Didn't Try,Didn't Try,FALSE,אין,לא הצליח לאסוף קוביות,2018-03-06 8:53:05,a6434074a1555de04ddec4754fa69fca
Saar Zelevski ,1943,Pm2,FALSE,FALSE,0,0,0,0,Ground,1,0,0,1,0,0,FALSE,Didn't Try,Didn't Try,TRUE,,"ירו קוביה באוטו על הנהגים, תקעו קוביה במקום לא חוקי על הסקייל. מזעזע.",2018-03-05 9:16:18,b408c4e7d754221e67adb1777318c474
ענב,1943,QM 14,FALSE,FALSE,0,0,0,0,Ground,0,0,0,1,0,1,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"לא הצליחו להרים קופסאות, לא זזו באוטונומי",2018-03-05 13:39:32,f17272adf1438efdfe9c305d65cb8dba
יעל אמיתי,1943,QM 18,TRUE,FALSE,0,0,0,0,Pyramid,0,1,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 14:17:52,899a230554799e18e2d9846e74255238
Saar Zelevski ,1943,QM14,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",1,0,0,1,3,0,TRUE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 13:37:34,7656c576dd1f8519600e479772f087a9
Stav Eyal,1943,QM27,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא הגיעו,2018-03-05 15:50:00,a3bd772c9baeda1cf44d64cc383e1ef3
סהר כספי,1943,QM32,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,לא היו במקצה,2018-03-05 16:38:19,4f3166da6d0fb73d32191f0afc933976
יעל אמיתי,1943,QM36,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,הרובוט לא הגיע,2018-03-05 17:11:41,b639473435ddd9888f1678f200137d42
Stav Eyal,1943,QM4,FALSE,FALSE,0,0,0,0,Ground,0,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,"רובוט לא זז
ניסו להתחבר אליו במהלך כל המשחק וקיבלו כרטיס צהוב",2018-03-05 12:08:34,1b609e4b8ae21ad1f5c04d7ecc6116a2
Stav Eyal,1943,QM8,FALSE,FALSE,0,0,0,0,Ground,0,1,0,1,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,נהג נורא ואיום,2018-03-05 12:56:43,7018c8371710ce519ab98cf7465b16ca
ניר,1943,QM44,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,5,0,FALSE,Didn't Try,Didn't Try,FALSE,,Foul על מעבר לחצי של המגרש של הקבוצה היריבה,2018-03-06 7:30:11,8d3c4e132c5f4a18e3883553ed98e4b8
יובל ויינשטיין,1943,QM48,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,3,0,FALSE,Didn't Try,Didn't Try,FALSE,אין,אין,2018-03-06 8:02:29,ecc23bb716242ab3a7ea09694ce9a53c
Enav,1943,QM59,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,8,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 9:36:55,2fb4f211e641e4359d2e9caf5075541c
Saar Zelevski ,1943,Qf4,TRUE,FALSE,0,0,0,0,"Pyramid, Ground",0,0,0,0,3,0,FALSE,Didn't Try,Didn't Try,FALSE,בוצעה עליהם הגנה,יכול להיות שהם עשו 4,2018-03-06 12:47:47,3bf638a24942b22f007ec1eb39e28244
Saar Zelevski ,1943,Qf8,TRUE,FALSE,0,0,0,0,"Pyramid, Ground",0,0,0,0,6,0,FALSE,Didn't Try,Didn't Try,FALSE,,סבלו מהגנה,2018-03-06 13:21:02,78c673bf8bc4955cf7ae729403113594
Saar Zelevski ,1943,Qf12,TRUE,FALSE,0,0,0,0,"Ground, Pyramid",0,0,0,0,6,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-06 13:34:41,0ee021258550d99b10a56f6d426f505e
מאיה לוי,2212,Pm2,TRUE,FALSE,1,0,0,0,Ground,0,0,1,1,0,0,FALSE,Didn't Try,Didn't Try,FALSE,,,2018-03-05 9:15:32,8b9373d3facea847b6c9b25bf6ebaa48
ענב בר ניר,2212,QM23,TRUE,FALSE,1,0,0,0,Ground,1,0,0,0,0,0,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,"לא הצליח לתפוס קוביות, נתקע ל30 שניות בזמן המשחק",2018-03-05 15:00:25,0afb880125f5a0cc6b75de8a49714868
יובל ויינשטיין,2212,QM27,TRUE,FALSE,0,0,0,0,Ground,0,0,0,0,5,1,FALSE,Didn't Try,Didn't Try,FALSE,לא הגן,מתקשה לאסוף קוביות בלי קיר,2018-03-05 15:37:14,8a0ebd833ab2a06a37a0fa73314f580d
